Song,Album,Count,Alb-NY,MntCAN,TorCAN,MSG-NY,WshDC,Philly,Bos-MA,Chi-IL,Col-OH,KC-MO,SP-MN,EdmCAN,VanCAN,Ing-CA,LsV-NV,Controlled Danger - San Fran,Amsterdam,Amsterdam,Denmrk,Sweden,Norway,Denmrk,London 1,London 2,Controlled Danger - Atlanta,Alb-NM,Denv-CO,George-WA,Portlnd-OR,Pasa Rb-CA,Anaheim-CA,Bud Light Dive Bar: LA,Sac - CA,Mntn. View-CA,Ingwd-CA,Phnx-AZ,SanA-TX,Dal-TX,Woodlands-TX,Nshv-TN,NOrl-LA,Atl-GA,Sunrs-FL,Tampa-FL,Chrlt-NC,Ral-NC,Cmdn-NJ,Homl-NJ,Hartfd-CT,Srycs-NY,Wanta-NY,Controlled Danger - NYC,Bristw-VA,Cinn-OH,DarCntr-NY,Tornto-ON,CFalls-OH,Clrkstn-MI,TPark-IL,Nbsvil-IL,
Slow Dancing in a Burning Room,C,55,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,
Moving On and Getting Over,TSFE,52,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,,FB,FB,,FB,FB,FB,,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,
Why Georgia,RFS,51,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,,FB,FB,FB,FB,FB,,,FB,FB,FB,FB,FB,FB,,FB,,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,
Helpless,TSFE,51,FB,FB,FB,FB,,FB,,FB,FB,FB,,FB,FB,FB,FB,,FB,,FB,FB,FB,,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,
Gravity,C,49,,FB,FB,FB,,FB,FB,FB,,FB,,FB,FB,FB,FB,,FB,,FB,FB,,FB,FB,FB,,FB,FB,FB,,FB,,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,
Vultures,C,48,,FB,,T,FB,T,T,T,,T,T,T,T,T,T,,T,,T,T,T,T,T,T,,T,T,,T,,T,,T,,T,T,T,T,T,T,T,T,T,T,T,T,,T,T,T,T,,T,T,T,T,T,T,T,T,
Who Says,BR,46,,FB,,FB,FB,,FB,FB,,FB,FB,FB,FB,FB,FB,A,FB,,FB,,FB,,FB,,A,FB,FB,FB,FB,FB,FB,FB,,FB,FB,FB,FB,,FB,FB,FB,FB,FB,FB,FB,FB,,FB,FB,,FB,A,,FB,,FB,FB,FB,FB,FB,
You're Gonna Live Forever in Me,TSFE,44,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,,,A,,A,,A,,A,,A,,A,A,,A,A,,A,A,A,A,A,A,A,A,A,,A,A,A,,,,,,
In The Blood,TSFE,45,,,,,,,,,,,,,,,,A,FB,FB,FB,FB,FB,FB,FB,FB,A,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,A,FB,FB,FB,FB,FB,FB,FB,FB,
Free Fallin',WTLI,43,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,,A,,,A,A,,A,A,A,A,,A,,A,,A,A,A,,A,A,A,,A,A,,A,,A,,A,A,A,A,A,,,A,
